order,Center,Address,City,State,ZIP,ContactPerson,PhoneNumberPrefix,PhoneNumber,PhoneNumber2Prefix,PhoneNumber2,Website,CertificationStatus,Latitude,Longitude
17,SIMONMED IMAGING PALM VALLEY,13657 W MCDOWELL ROAD SUITE 111,GOODYEAR,AZ,85395,,(602),688-6123,,,https://www.SimonMed.com,,33.4755,-112.3924
18,SIMONMED IMAGING HENDERSON,6301 MOUNTAIN VISTA ST STE 103,HENDERSON,NV,89014,,(602),688-6123,,,https://www.SimonMed.com,,36.0633,-115.0525
19,SIMONMED IMAGING CENTENNIAL,7540 OSO BLANCA RD,LAS VEGAS,NV,89149,,(602),688-6123,,,https://www.SimonMed.com,,36.2684,-115.2956
20,SIMONMED IMAGING WILMOT,310 N. WILMOT ROAD SUITE 302,TUCSON,AZ,85711,,(602),688-6123,,,https://www.SimonMed.com,,32.2107,-110.8851
21,"MHEALTH FAIRVIEW, UNIVERSITY OF MINNESOTA MEDICAL CENTER","500 HARVARD ST, SE",MINNEAPOLIS,MN,55455,THERANOSTICS DEPARTMENT,(612),273-5760,,,,,44.9742,-93.2342
22,CCIR UNIVERSITY OF MINNESOTA PHYSICIANS,2021 6TH ST SE,MINNEAPOLIS,MN,55455,,(612),626-6900,,,https://med.umn.edu/radiology/research/center-clinical-imaging-research,,44.9742,-93.2342
23,"MAYO CLINIC, ROCHESTER, MINNESOTA",200 1ST ST. SW,ROCHESTER,MN,55905,,,,,,,,44.0557,-92.5254
24,"AUSTIN RADIOLOGICAL ASSOCIATION MSO, LLC",901 W 38TH ST STE 100,AUSTIN,TX,78705,RADIOLOGY,(512),519-3456,,,http://www.ausrad.com/exams-services/theranostics/,,30.2962,-97.739
25,SIMONMED IMAGING SAN BERNARDINO,225 W HOSPITALITY LN STE 100,SAN BERNARDINO,CA,92408,,(602),688-6123,,,https://www.SimonMed.com,,34.0869,-117.2617
26,LOMA LINDA UNIVERSITY HEALTH,11234 ANDERSON ST.,LOMA LINDA,CA,92354,,(909),651-5333,,,https://lluh.org/cancer-center/cancer-treatments/theranostics,,34.0484,-117.25
27,SIMONMED IMAGING RENO (EUREKA),590 EUREKA AVE,RENO,NV,89512,,(602),688-6123,,,https://www.SimonMed.com,,39.5586,-119.8005
28,SIMONMED IMAGING LAGUNA HILLS,24022 CALLE DE LA PLATA SUITE 100,LAGUNA HILLS,CA,92653,,(602),688-6123,,,https://www.SimonMed.com,,33.5903,-117.6963
29,UCI MEDICAL CENTER,"101 THE CITY DRIVE SOUTH, BLDG 20",ORANGE,CA,92868,,(714),456-7237,,,https://radiology.uci.edu/,,33.7866,-117.8751
30,UC SAN DIEGO HEALTH,200 WEST ARBOR DR,SAN DIEGO,CA,92103,,,,,,https://health.ucsd.edu/patients/Pages/default.aspx,,32.7498,-117.1677
31,SUMMIT CANCER CARE,6001 N MAYFAIR ST,SPOKANE,WA,99208,,(509),462-2273,,,https://www.summitcancercenter.com/,,47.7872,-117.4645
32,UNIVERSITY OF WISCONSIN HOSPITAL,600 HIGHLAND AVE.,MADISON,WI,53792,CONSULTATION,(608),263-8500,,,https://www.uwhealth.org/locations/uw-carbone-cancer-center-228,,43.0773,-89.4308
33,LONG BEACH MEMORIALCARE MEDICAL CENTER,2801 ATLANTIC AVE,LONG BEACH,CA,90806,NUCLEAR MEDICINE - PETDEPT.,(562),933-2247,,,,,33.8065,-118.1913
34,EXCEL DIAGNOSTICS & NUCLEAR ONCOLOGY CENTER,9701 RICHMOND AVENUE # 122,HOUSTON,TX,77042,,(713),781-6200,,,https://www.exceldiagnostics.com/,,29.7247,-95.5565
35,FROEDTERT HOSPITAL,9200 WEST WISCONSIN AVENUE,MILWAUKEE,WI,53226,,,,,,,,43.0513,-88.0412
36,ADVOCATE AURORA ST. LUKE'S MEDICAL CENTER,2900 W. OKLAHOMA AVENUE,MILWAUKEE,WI,53215,,,,,,,,42.9914,-87.9433
37,EPIC CARE,27204 CALAROGA AVE,HAYWARD,CA,94545,,(877),374-2412,,,https://epic-care.com/,,37.6064,-122.1178
38,SIMONMED IMAGING DALY CITY,455 HICKEY BLVD STE 200,DALY CITY,CA,94015,,(602),688-6123,,,https://www.SimonMed.com,,37.68,-122.4863
39,SOUND CANCER CARE,"2940 S MERIDIAN, SUITE 100",PUYALLUP,WA,98373,,(253),200-3166,,,,,47.1474,-122.324
40,SWEDISH MEDICAL CENTER - PROVIDENCE SWEDISH,1221 MADISON SUITE 100,SEATTLE,WA,98102,,(206),386-2323,,,https://www.swedish.org/services/cancer-institute/our-services/radiation-therapy,,47.6338,-122.3215
41,FRED HUTCHINSON CANCER CENTER,1354 ALOHA ST,SEATTLE,WA,98109,,(855),557-0555,,,https://www.seattlecca.org/treatments/nuclear-medicine,,47.6289,-122.3457
42,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,1717 13THST.,EVERETT,WA,98201,,(425),297-5580,,,,,47.999,-122.1914
43,PET/CT IMAGING CENTER OF NW FL,"5149 N. 9TH AVENUE, STE 124",PENSACOLA,FL,32504,,(850),478-6336,,,,,30.4863,-87.1921
44,PENSACOLA RADIOLOGY CONSULTANTS,1549 AIRPORT BOULEVARD SUITE 110,PENSACOLA,FL,32504,,(850),478-6336,,,,,30.4863,-87.1921
45,CLEVELAND CLINIC,9500 EUCLID AVE,CLEVELAND,OH,44195,,(216),440-3373,,,,,41.5031,-81.6206
46,UNIVERSITY HOSPITALS OF CLEVELAND,11100 EUCLID AVE.,CLEVELAND,OH,44106,,,,,,,,41.5091,-81.609
47,CATAWBA VALLEY MEDICAL CENTER,"810 FAIRGROVE CHURCH RD, SE,DEPT. OF RADIATION ONCOLOGY",HICKORY,NC,28602,RADIATION ONCOLOGY DEPARTMENT,(828),326-3856,,,https://www.catawbavalleyhealth.org/Medical-Center/Services/Cancer/Radiation-Oncology.aspx,,35.6704,-81.3619
48,WESLEY LONG HOSPITAL,2400 WEST FRIENDLY AVE.,GREENSBORO,NC,27403,MOLECULAR IMAGING DEPARTMENT,(336),832-1871,,,,,36.0734,-79.8241
49,UVA HEALTH SYSTEMS,1240 LEE STREET,CHARLOTTESVILLE,VA,22903,,(434),982-5240,,,,,38.0319,-78.4985
50,UNIVERSITY OF ROCHESTER MEDICAL CENTER,601 ELMWOOD AVENUE,ROCHESTER,NY,14642,,(585),275-5625,(585),275-2171,https://www.urmc.rochester.edu/radiation-oncology/patient-care.aspx,,43.1225,-77.6243
51,UNC MEDICAL CENTER,101 MANNING DRIVE,CHAPEL HILL,NC,27514,,(984),974-9359,,,,,35.9722,-79.0476
52,DUKE UNIVERSITY MEDICAL CENTER,2301 ERWIN RD,DURHAM,NC,27710,,,,,,https://radiology.duke.edu/about/clinical-divisions/nuclear-medicine-and-radiotheranostics/,,36.0038,-78.9387
53,PENNSYLVANIA CANCER SPECIALISTS & RESEARCH INSTITUTE,20 EXPEDITION TRAIL STE 101,GETTYSBURG,PA,17325,,(717),334-4033,,,https://pcsri.com/,,39.8243,-77.2175
54,CANCER SPECIALIST OF NORTH FLORIDA SOUTHPOINT,"7015 AC SKINNER PARKWAY, BUILDING 100",ST. AUGUSTINE,FL,32256,,(904),516-3737,,,https://cancerspecialistsnf.com/,,30.2205,-81.5537
55,MAYO CLINIC FLORIDA,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,,,,,,https://www.mayoclinic.org/appointments,,30.2607,-81.4609
56,PENN STATE HERSHEY MEDICAL CENTER,500 UNIVERSITY DR,HERSHEY,PA,17033,,,,,,,,40.2713,-76.6297
57,ADVANCED MOLECULAR IMAGING AND THERAPY (AMIT CLINIC),"THERANOSTICS CENTER OF EXCELLENCE, 331 OAK MANOR DRIVE STE 201",GLEN BURNIE,MD,21061,,(443),333-1894,,,https://www.amitclinic.com/,,39.1512,-76.6239
58,SIMONMED IMAGING BRADENTON,6215 21ST AVE W SUITE A,BRADENTON,FL,34209,,(602),688-6123,,,https://www.SimonMed.com,,27.5074,-82.6375
59,SIMONMED IMAGING OCOEE,10125 W. COLONIAL DR. SUITE # 114,OCOEE,FL,34761,,(602),688-6123,,,https://www.SimonMed.com,,28.5831,-81.5267
60,SIMONMED IMAGING ALTAMONTE SPRINGS III,745 ORIENTA AVE SUITE 1161,ALTAMONTE SPRINGS,FL,32701,,(602),688-6123,,,https://www.SimonMed.com,,28.666,-81.3729
61,SIMONMED IMAGING DOWNTOWN ORLANDO II,2121 S ORANGE AVE,ORLANDO,FL,32806,,(602),688-6123,,,https://www.SimonMed.com,,28.5086,-81.3564
62,SIMONMED IMAGING POINCIANA,875 CYPRESS PARKWAY,POINCIANA,FL,34759,,(602),688-6123,,,https://www.SimonMed.com,,28.1027,-81.4499
63,MEMORIAL SLOAN KETTERING CANCER CENTER,1250 1ST AVENUE,NEW YORK,NY,10065,,(800),525-2225,,,,,40.7645,-73.9624
64,NEW YORK PRESBYTERIAN,177 FORT WASHINGTON AVENUE,NEW YORK,NY,10032,NUCLEAR MEDICINE,(212),305-6470,,,,,40.841,-73.9448
65,NEW YORK CANCER AND BLOOD SPECIALISTS,1 DELAWARE DRIVE,NEW HYDE PARK,NY,11042,,(833),269-4624,,,,,40.7572,-73.6963
66,NEW YORK CANCER AND BLOOD SPECIALISTS,1500 ROUTE 112 - BLDG 2A,PORT JEFFERSON STATION,NY,11776,,(833),269-4624,,,,,40.9086,-73.0464
67,HARTFORD HOSPITAL,"RADIATION ONCOLOGY, 80 SEYMOUR ST.",HARTFORD,CT,06102,,(860),972-2803,,,https://hartfordhospital.org/about-hh/news-center/news-detail?articleId=44182&publicid=395,,41.7524,-72.6802
68,BOSTON MEDICAL CENTER,840 HARRISON AVE,BOSTON,MA,02118,,(617),638-6550,,,,,42.3378,-71.0706
69,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,02114,,(617),726-8350,,,https://www.massgeneral.org/imaging/programs-and-services/nuclear-medicine,,42.3653,-71.0646
