order,Center,Address,City,State,ZIP,ContactPerson,PhoneNumberPrefix,PhoneNumber,PhoneNumber2Prefix,PhoneNumber2,Website,CertificationStatus,Latitude,Longitude
44,DAYTON PHYSICIANS NETWORK,3120 GOVERNOR'S PL BLVD,KETTERING,OH,45409,,(937),771-2474,,,www. Daytonphysicians.com,,39.7207,-84.1936
45,UK HEALTHCARE,1000 S LIMESTONE,LEXINGTON,KY,40536,,(859),323-9729,,,,,38.0327,-84.5066
46,PROMEDICA FLOWER HOSPITAL HICKMAN CANCER CENTER,"5300 HARROUN RD, SUITE 010",SYLVANIA,OH,43560,,(419),824-1952,,,https://www.promedica.org/promedica-cancer-institute/,,41.6992,-83.7305
47,MICHIGAN MEDICINE,"1500 E MEDICAL CENTER DRIVE, UH B1 H320 / THERAPY CLINIC",ANN ARBOR,MI,48109,,(734),232-6072,,,,,42.3053,-83.6694
48,GENESISCARE/MHP,"4550 INVESMENT DRIVE, SUITE B111",TROY,MI,48098,,(248),952-5019,,,https://www.genesiscare.com/us,,42.5925,-83.1756
49,KARMANOS CANCER CENTER,4100 JOHN R,DETROIT,MI,48201,RADIATION ONCOLOGY CENTER,(313),576-9584,,,,,42.3485,-83.0603
50,PENSACOLA RADIOLOGY CONSULTANTS,1549 AIRPORT BOULEVARD SUITE 110,PENSACOLA,FL,32504,,(850),478-6336,,,,,30.4863,-87.1921
51,UNIVERSITY HOSPITALS OF CLEVELAND,11100 EUCLID AVE.,CLEVELAND,OH,44106,,,,,,,,41.5091,-81.609
52,UNIVERSITY CANCER AND BLOOD CENTER,3320 OLD JEFFERSON RD BLDG 700,ATHENS,GA,30607,,(706),353-2990,,,https://www.universitycancer.com,,34.0137,-83.475
53,"CHARLESTON AREA MEDICAL CENTER, GENERAL HOSPITAL",501 MORRIS STREET,CHARLESTON,WV,25301,,(304),388-7454,,,,,38.3517,-81.6336
54,CATAWBA VALLEY MEDICAL CENTER,"810 FAIRGROVE CHURCH RD, SE,DEPT. OF RADIATION ONCOLOGY",HICKORY,NC,28602,RADIATION ONCOLOGY DEPARTMENT,(828),326-3856,,,https://www.catawbavalleyhealth.org/Medical-Center/Services/Cancer/Radiation-Oncology.aspx,,35.6704,-81.3619
55,UPMC SHADYSIDE HOSPITAL,5230 CENTRE AVENUE,PITTSBURGH,PA,15232,NUCLEAR MEDICINE DEPARTMENT,(412),623-2283,,,,,40.4511,-79.9333
56,WVU MEDICINE,ONE MEDICAL CENTER DRIVE,MORGANTOWN,WV,26506,,(304),598-4500,,,,,39.6542,-79.9595
57,LEVINE CANCER INSTITUTE - RADIATION THERAPY,"1021 MOREHEAD MEDICAL DRIVE, SUITE 1000",CHARLOTTE,NC,28204,ATRIUM RADIATION ONCOLOGY,(980),442-1100,,,https://atriumhealth.org/medical-services/specialty-care/cancer-care/radiation-therapy,,35.2151,-80.8295
58,CARILION CLINIC,2001 CRYSTAL SPRING AVE,ROANOKE,VA,24014,NURSE NAVIGATOR,(540),494-2953,,,,,37.2181,-79.9081
59,WESLEY LONG HOSPITAL,2400 WEST FRIENDLY AVE.,GREENSBORO,NC,27403,MOLECULAR IMAGING DEPARTMENT,(336),832-1871,,,,,36.0734,-79.8241
60,UVA HEALTH SYSTEMS,1240 LEE STREET,CHARLOTTESVILLE,VA,22903,,(434),982-5240,,,,,38.0319,-78.4985
61,UNIVERSITY OF ROCHESTER MEDICAL CENTER,601 ELMWOOD AVENUE,ROCHESTER,NY,14642,,(585),275-5625,(585),275-2171,https://www.urmc.rochester.edu/radiation-oncology/patient-care.aspx,,43.1225,-77.6243
62,DUKE UNIVERSITY MEDICAL CENTER,2301 ERWIN RD,DURHAM,NC,27710,,(919),668-8108,,,https://radiology.duke.edu/about/clinical-divisions/nuclear-medicine-and-radiotheranostics/,,36.0038,-78.9387
63,GENESICARE ORANGE PARK,2161 KINGSLEY AVE,ORANGE PARK,FL,32073,,(904),276-2303,,,,,30.1644,-81.7459
64,PENNSYLVANIA CANCER SPECIALISTS & RESEARCH INSTITUTE,20 EXPEDITION TRAIL STE 101,GETTYSBURG,PA,17325,,(717),334-4033,,,https://pcsri.com/,,39.8243,-77.2175
65,GENESICARE BAYMEADOWS,"7751 BAYMEADOWS RD E, STE 102",JACKSONVILLE,FL,32256,,(904),562-4400,,,,,30.2205,-81.5537
66,CANCER SPECIALIST OF NORTH FLORIDA SOUTHPOINT,"7015 AC SKINNER PARKWAY, BUILDING 100",ST. AUGUSTINE,FL,32256,,(904),516-3737,,,https://cancerspecialistsnf.com/,,30.2205,-81.5537
67,MAYO CLINIC FLORIDA,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,,,,,,https://www.mayoclinic.org/appointments,,30.2607,-81.4609
68,VIRGINIA CANCER SPECIALISTS,8613 LEE HIGHWAY,FAIRFAX,VA,22031,,(703),934-4451,,,www.virginiacancerspecialists.com,,38.8642,-77.2578
69,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR ROAD,WASHINGTON,DC,20007,,(202),444-3378,,,,,38.9156,-77.0737
70,PENN STATE HERSHEY MEDICAL CENTER,500 UNIVERSITY DR,HERSHEY,PA,17033,,,,,,,,40.2713,-76.6297
71,JOHNS HOPKINS HOSPITAL,601 N. CAROLINE STREET,BALTIMORE,MD,21287,,(443),287-7634,,,https://www.hopkinsmedicine.org/radiology/centers/theranostics/,,39.2962,-76.5929
72,ADVANCED MOLECULAR IMAGING AND THERAPY (AMIT CLINIC),"THERANOSTICS CENTER OF EXCELLENCE, 331 OAK MANOR DRIVE STE 201",GLEN BURNIE,MD,21061,,(443),333-1894,,,https://www.amitclinic.com/,,39.1512,-76.6239
73,UROLOGY CANCER CENTER PC,17607 GOLD PLAZA,OMAHA,NE,68130,NUCLEAR MEDICINE,(402),991-8468,,,www.gucancer.com,,40.05,-76.36
74,ECU HEALTH MEDICAL CENTER,524 MOYE BLVD,GREENVILLE,NC,27834,,(252),816-2273,,,,,35.645,-77.4243
75,NORTHEAST RADIATION ONCOLOGY CENTER,110 MEADE STREET,DUNMORE,PA,18512,,(570),504-7214,,,Nrocdoctors.com,,41.4368,-75.6092
76,ST. LUKES UNIVERSITY HEALTH NETWORK,421 W CHEW STREET (SACRED HEART CAMPUS),ALLENTOWN,PA,18102,,(484),526-4810,,,,,40.6074,-75.4782
77,VOA RADIATION ONCOLOGY,"6251 E. VIRGINIA BEACH BLVD, SUITE 115",NORFOLK,VA,23502,,(757),213-5770,,,https://www.virginiacancer.com/physician-specialties/radiation-oncology/,,36.8575,-76.2074
78,JEFFERSON RADIATION ONCOLOGY @ THOMAS JEFFERSON UNIVERSITY HOSPITAL,"111 S. 11TH STREET, BODINE CENTER FOR CANCER TREATMENT",PHILADELPHIA,PA,19107,,(215),955-6702,,,https://www.jeffersonhealth.org/clinical-specialties/radiation-oncology,,39.9559,-75.1575
79,ASTERA CANCER CARE,9 CENTRE DRIVE,MONROE TWP,NJ,08831,,(609),655-5755,,,,,40.3363,-74.433
80,MEMORIAL SLOAN KETTERING CANCER CENTER,1250 1ST AVENUE,NEW YORK,NY,10065,,(800),525-2225,,,,,40.7645,-73.9624
81,NEW YORK PRESBYTERIAN HOSPITAL/ WEILL CORNELL,525 EAST 68TH STREET - STARR PAVILION 2ND FLOOR,NEW YORK,NY,10065,,(212),746-4529,(212),746-0135,,,40.7645,-73.9624
82,NEW YORK PRESBYTERIAN,177 FORT WASHINGTON AVENUE,NEW YORK,NY,10032,NUCLEAR MEDICINE,(212),305-6470,,,,,40.841,-73.9448
83,MOUNT SINAI HOSPITAL,"1190 FIFTH AVE, MC LEVEL ROOM 175",NEW YORK,NY,10029,THERAPEUTIC INQUIRIES,(212),241-7888,,,https://www.mountsinai.org/care/radiology/services/nuclear-medicine,,40.7916,-73.9448
84,NEW YORK PRESBYTERIAN QUEENS,5645 MAIN ST,FLUSHING,NY,11355,,(718),670-1501,,,https://www.nyp.org/queens,,40.7493,-73.8213
85,NEW YORK CANCER AND BLOOD SPECIALISTS,1 DELAWARE DRIVE,NEW HYDE PARK,NY,11042,,(833),269-4624,,,,,40.7572,-73.6963
86,NEW YORK CANCER AND BLOOD SPECIALISTS,1500 ROUTE 112 - BLDG 2A,PORT JEFFERSON STATION,NY,11776,,(833),269-4624,,,,,40.9086,-73.0464
87,YALE NEW HAVEN HOSPITAL,20 YORK STREET,NEW HAVEN,CT,06510,,(203),200-4622,,,,,41.3052,-72.9269
88,HARTFORD HOSPITAL,"RADIATION ONCOLOGY, 80 SEYMOUR STREET",HARTFORD,CT,06102,,(860),972-2803,,,https://hartfordhospital.org/about-hh/news-center/news-detail?articleId=44182&publicid=395,,41.7524,-72.6802
89,BOSTON MEDICAL CENTER,840 HARRISON AVE,BOSTON,MA,02118,,(617),638-6550,,,,,42.3378,-71.0706
90,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,02114,,(617),726-8350,,,https://www.massgeneral.org/imaging/programs-and-services/nuclear-medicine,,42.3653,-71.0646
