locationName,centerType,address1,address2,city,state,zip,phoneNumber,phoneExtension,websiteUrl,latitude,longitude
Scripps Center for Integrative Medicine,stand-alone imaging center,10820 N. Torrey Pines Rd,,La Jolla,California,92037,858-554-3336,,https://campaigns.scripps.org/locations/specialty-centers/scripps-shiley-pavilion/scripps-center-for-integrative-medicine?source_id=8492&utm_campaign=,32.900509,-117.243085
UCSD- HEALTH SCIENCES,hospital-based,3960 Health Sciences Dr,,La Jolla,California,92093,858-246-1515,,https://healthlocations.ucsd.edu/la-jolla/3960-health-sciences-drive,32.879074,-117.220715
CALIFORNIA PROTONS,stand-alone imaging center,9730 Summer Ridge Rd,,San Diego,California,92121,858-549-7400,,https://www.californiaprotons.com/?utm_source=yext&utm_medium=referral&utm_campaign=local&st-t=yext,32.893269,-117.17004
Sharp Grossmont Hospital Outpatient Imaging,hospital-based,8860 Center Dr,,La Mesa,California,91942,619 740-5100,,https://www.sharp.com/locations/sharp-grossmont-hospital-medical-terrace/outpatient-imaging-791?utm_source=google&utm_medium=organic&utm_campaign=yext,32.782492,-117.006626
IMAGING HEALTHCARE SPECIALISTS- ENCINITAS,hospital-based,477  North El Caminon Real,Suite A-102,Encinitas,California,92024,858-888-4548,,https://www.imaginghealthcare.com/locations/encinitas/,33.05712,-117.261289
cCARE,hospital-based,16918 Dove Canyon Rd,Suite 103,San Diego,California,92127,800 456-5860,,https://ccare.com/,33.017509,-117.11209
Southwest Oncology Centers,stand-alone imaging center,1385 S Pacific Ave,,Yuma,Arizona,85364,,,https://swoncology.net/,32.702363,-114.597647
Radiology Associates of San Luis Obispo,stand-alone imaging center,1310 Las Tablas Rd,,Templeton,California,93465,,,https://rasloimaging.com/,35.554835,-120.722861
UCLA Health Santa Monica Outpatient Imaging,hospital-based,1245 16th St,105,Santa Monica,California,90404,310-301-6800,,,34.027493,-118.485384
Hoag Health Center Newport Beach,stand-alone imaging center,510 Superior,Suite 200 BCDE,Newport Beach,California,92663,949 791-3002,,https://www.hoag.org/locations/hoag-medical-group-newport-beach-hoag-health-center/,33.615828,-117.930758
Memorial Care Imaging Center Newport Beach,stand-alone imaging center,3300 West Coast Hwy,Suite B,Newport Beach,California,92663,,,https://www.radnet.com/orange-county/locations/waveimaging-newport-beach,33.621731,-117.927372
HOAG HOSPITAL ADVANCED TECHNOLOGY PAVILLION,hospital-based,One Hoag Dr,BUILDING 47,Newport Beach,California,92663,949-764-5573,,https://www.hoag.org/,33.624397,-117.929636
Liberty Pacific Long Beach,stand-alone imaging center,2708 Willow St,,Signal Hill,California,90755,562-216-5120,,,33.803895,-118.159384
Tibor Rubin VA Medical Center,hospital-based,5901 East 7th St,,Long Beach,California,90822,562-826-5565,,https://www.va.gov/long-beach-health-care/locations/tibor-rubin-va-medical-center/,33.777569,-118.118943
NEWPORT DIAGNOSTIC CENTER,hospital-based,1605  Avocado Ave,,Newport Beach,California,92660,949-467-3100,,https://www.newportdiagnosticcenter.com/,33.615156,-117.868642
United Medical Imaging of Huntington Beach,hospital-based,16161 Gothard St,,Huntington Beach,California,92647,,,https://www.umih.com/,33.727448,-118.000585
Community Hospital of Monterey Peninsula,hospital-based,2 Upper Ragsdale Drive,Building D #100,Monterey,California,93940,,,https://www.montagehealth.org/care-treatment/radiology-imaging/,36.578659,-121.815202
TOWER ST. JOHN'S IMAGING,stand-alone imaging center,2202 Wilshire Blvd,,Santa Monica,California,90403,310-264-9000,,https://www.towersaintjohnsimaging.com/,34.032701,-118.481066
Medical Imaging Center of Southern California,stand-alone imaging center,2817 Wilshire Blvd,,Santa Monica,California,90403,,,https://www.micsc.com/?utm_source=gmb_auth,34.037964,-118.47549
Tri-City PETCT at Vista,hospital-based,902 Sycamore Ave,Suite 120,Vista,California,92081,,,https://tricitypetct.com/,33.1607,-117.219521
California Cancer Associates,hospital-based,838 Nordahl Rd,Suite 300,San Marcos,California,92069,800 456-5860,,https://ccare.com/,33.135418,-117.118583
Valley Radiology Consultants Medical Group,stand-alone imaging center,255 North Elm Street,Suite 102,Escondido,California,92025,,,https://www.valleyrad.com/,33.127,-117.072492
Providence Mission Hospital Mission Viejo,hospital-based,27799 Medical Center Rd,,Mission Viejo,California,92691,,,https://www.providence.org/locations/mission-hospital-mission-viejo?y_source=1_MTMyNjg2ODItNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl#llaid=2089,33.55981,-117.665657
HALO DIAGNOSTICS,stand-alone imaging center,74-785 Highway 111,Suite 101,Indian Wells,California,92210,760-776-8989,,https://www.halodx.com/,33.720754,-116.36013
Eisenhower Lucy Curci Cancer Center,stand-alone imaging center,39000 Bob Hope Dr,,Rancho Mirage,California,92270,,,,33.764028,-116.400531
RADNET - Desert Advanced Imaging Rancho Mirage,stand-alone imaging center,35-800 Bob Hope Dr Ste,,Rancho Mirage,California,92270,,,https://www.radnet.com/coachella-valley/locations/rancho-mirage-interventional-radiology-and-imaging-center,33.79053,-116.405464
Temecula Valley Advanced Imaging Temecula Parkway,hospital-based,31775 De Portola Rd,Ste. 100,Temecula,California,92592,,,https://www.radnet.com/temecula-valley/locations/temecula-valley-advanced-imaging-temecula-parkway,33.48346,-117.104
Havasu Regional M.C. Outpatient Radiology,hospital-based,1840 Mesquite Ave,Suite D,Lake Havasu City,Arizona,86403,928855-8185,,https://www.havasuregional.com/locations/hrmc-outpatient-diagnostic-center,34.478518,-114.336683
Sutter home Palo Alto medical foundation,hospital-based,2911 Chanticleer Ave,,Santa Cruz,California,95065,831 477-2350,,https://jobs.sutterhealth.org/our-locations,36.988267,-121.97837
El Camino Health - Los Gatos Hospital,hospital-based,815 Pollard Rd,,Los Gatos,California,95032,408 378-6131,,https://locations.elcaminohealth.org/los-gatos-hospital-campus/815-pollard-rd/hospital-lg?utm_campaign=listings&utm_source=google&utm_medium=location_link&utm_content=hospital-lg,37.2627564,-121.9696175
UCLA Health Santa Clarita Imaging and Intervention,hospital-based,"27235 Tourney Rd,",suite 1500,Valencia,California,91355,310-301-6800,,https://www.uclahealth.org/radiology/scic?utm_source=google&utm_medium=Yext,34.417876,-118.578294
Providence Holy Cross  Imaging Center,hospital-based,26357 McBean Pkwy,,Santa Clarita,California,91355,661-288-5951,,https://www.providence.org/locations/providence-holy-cross-health-center-at-santa-clarita?Is=location&y_source=1_OTU3NTkxNS03MTUtbG9jYXRpb24ud2Vic2l0Z,34.412573,-118.560465
LIBERTY PACIFIC ADVANCED IMAGING,stand-alone imaging center,18133  Ventura Blvd,Suite 100,Tarzana,California,91356,818-933-2020,,https://www.radnet.com/san-fernando-valley/locations/liberty-pacific-advanced-imaging-tarzana,34.166067,-118.52827
RADNET - LIBERTY PACIFIC ADVANCED IMAGING,stand-alone imaging center,16130 Ventura Blvd.,#100,Encino,California,91436,818-616-6538,,https://www.radnet.com/san-fernando-valley/locations/liberty-pacific-advanced-imaging-encino,34.156218,-118.485042
UCLA Health Nuclear Medicine,hospital-based,200 Medical Plaza Driveway,,Los Angeles,California,90095,,,https://www.uclahealth.org/nuc/?utm_source=google&utm_medium=Yext,34.064847,-118.447159
VA GREATER LOS ANGELES,hospital-based,11301 Wilshire Blvd,Basement 0072-500,Los Angeles,California,90073,310-268-3583,,https://www.losangeles.va.gov/,34.052616,-118.452705
THE ANGELES CLINIC AND RESEARCH INSTITUTE,stand-alone imaging center,11818 Wilshire Blvd,Suite 200,Los Angeles,California,90025,310-231-2156,,https://www.cedars-sinai.org/locations/angeles-clinic-research-institute-165.html,34.047307,-118.462978
Elite Advanced Imaging,stand-alone imaging center,17260 Bear Valley Rd,#109,Victorville,California,92395,,,https://www.radnet.com/high-desert/locations/elite-advanced-imaging,34.471606,-117.285522
Loma Linda University Medical Center,hospital-based,11234 Anderson St,,Loma Linda,California,92354,,,https://lluh.org/?utm_source=google-local&utm_medium=organic&utm_campaign=yext,34.050036,-117.263846
Healthcare Advanced Imaging,stand-alone imaging center,4500 Olivewood Ave,#100 & #200,Riverside,California,92501,,,https://www.radnet.com/inland-empire/locations/healthcare-advanced-imaging,33.972388,-117.375876
CITY OF HOPE - OUTPATIENT IMAGING CENTER,hospital-based,1500 East Duarte Rd Outpatient Imaging Center,#184,Durate,California,91010,800-826-4673,,https://www.cityofhope.org/location/duarte,34.129851,-117.970772
City of Hope Corona,hospital-based,320 W 6th St,,Corona,California,92882,,,,33.875413,-117.569902
United Medical Imaging Healthcare,stand-alone imaging center,1401 W Merced Ave,Suite 102,West Covina,California,91790,626 813-6100,,https://www.umih.com/locations/,34.062003,-117.94639
Pacific Medical Imaging,stand-alone imaging center,707 S Garfield Ave,Suite #B1,Alhambra,California,91801,626 227-2727,,https://www.pmioc.com/,34.0888002,-118.1235786
RADNET - IMAGING SPECIALISTS OF PASADENA,hospital-based,630  South Raymond Ave,#210,Pasadena,California,91105,626-356-0700,,https://www.radnet.com/san-fernando-valley/locations/imaging-specialists-pasadena,34.135126,-118.148383
Huntington Hill Imaging Center,stand-alone imaging center,625 S. Fair Oaks Avenue,,Pasadena,California,91105,626 229-8969,,https://hillmedical.com/locations/huntington-hill-imaging-center-fair-oaks/,34.13513,-118.150753
RADNET - ORANGE ADVANCED IMAGING,stand-alone imaging center,230 SOUTH MAIN ST,Suite 101,Orange,California,92868,310-445-2940,,https://www.radnet.com/orange-county/locations/waveimaging-orange,33.785104,-117.867681
Temecula Valley Advanced Imaging Temecula Parkway,stand-alone imaging center,25455 Medical Center Dr,Suite100,Temecula,California,92592,,,https://www.radnet.com/temecula-valley/locations/temecula-valley-advanced-imaging-temecula-parkway,33.556718,-117.186163
City of Hope Orange County Cancer Center,hospital-based,1000 FivePoint,,Irvine,California,92618,888 333-4673,,,33.651563,-117.731001
Southwest Oncology Centers,hospital-based,2755 Silver Creek Rd,Suite 115,Bullhead City,Arizona,86442,928 514-2222,,https://swoncology.net/,35.1105288,-114.5534517
Santa Clara Valley Medical Center,hospital-based,751 S Bascom Ave,,San Jose,California,95128,408 885-5000,,https://scvmc.scvh.org/home,37.3156102,-121.932964
PET Imaging of San Jose,stand-alone imaging center,2211 Moorpark Ave,,San Jose,California,95128,,,,37.316427,-121.932645
EL CAMINO HOSPITAL,hospital-based,2500 Grant Rd,,Mountain View,California,94040,650-694-3971,,https://www.elcaminohealth.org/,37.367816,-122.082457
Palo Alto VA Medical Center,hospital-based,3801 Miranda Ave,,Palo Alto,California,94304,,,,37.405407,-122.140009
Comprehensive Blood & Cancer Center,hospital-based,6501 Truxtun Ave,,Bakersfield,California,93309,,,https://www.cbccusa.com/,35.361467,-119.074633
Quest Imaging: Adventist Health Bakersfield,stand-alone imaging center,2700 Chester Ave,,Bakersfield,California,93301,661 633-5000,,,35.384172,-119.017905
Kern Radiology Memorial Medical Plaza,stand-alone imaging center,3838 San Dimas St a120,,BAKERSFIELD,California,93309,661-326-9600,,,35.394076,-119.007182
Kern Radiology Memorial Medical Plaza,hospital-based,3838 San Dimas St a120,,Bakersfield,California,93301,,,,35.394076,-119.007182
Kern Radiology Medical Group,stand-alone imaging center,4500 Morning Dr,#202,Bakersfield,California,93306,661 326-9600,,https://www.radnet.com/kern-radiology/,35.393823,-118.916744
Kern Radiology Medical Group,stand-alone imaging center,4500 Morning Dr,Suite 202,Bakersfield,California,93306,661 324-7000,,https://www.radnet.com/kern-radiology/locations/kern-radiology-rio-bravo,35.3938231,-118.9167441
Intermountain Healthcare,hospital-based,8285 West Arby Ave,Suite 100B,Las Vegas,Nevada,89113,7029687205,,https://intermountainnv.org/clinic/san-martin-oncology-clinic/,36.0583762,-115.2721363
Comprehensive Cancer Centers of Nevada - Northwest,hospital-based,7445 Peak drive,,Las Vegas,Nevada,89128,702-952-3461,,https://cccnevada.com/treatment-centers/northwest/,36.209298,-115.256624
Comprehensive Cancer Centers of Nevada Eastern Ave,hospital-based,3730 South Eastern Ave,,Las Vegas,Nevada,89169,702-952-3455,,,36.121088,-115.118327
SimonMed Imaging - Henderson,stand-alone imaging center,6301 Mountain Vista St.,#103,Henderson,Nevada,89015,702-433-7216,,https://www.simonmed.com/locations/all/simonmed_imaging___henderson,36.075043,-115.073937
SENTARA ROCKINGHAM MEMORIAL HOSPITAL,hospital-based,2010 Health Campus Dr,,Harrisonburg,Virginia,22801,540-689-6000,,https://www.sentara.com/harrisonburg-virginia/hospitalslocations/locations/sentara-rmh-medical-center/directions-parking.aspx,38.405067,-78.855272
Winchester Medical Center,hospital-based,1840 Amherst St,,Wincherster,Virginia,22601,,,,39.194235,-78.19359
ADVANCED DIAGNOSTIC RADIOLOGY,stand-alone imaging center,952  Seaton Dr,,Cumberland,Maryland,21501,301-777-3829,,https://adronline.org/,39.650995,-78.797755
AUGUSTA MEDICAL CENTER,hospital-based,78 Medical Center Dr,,Fishersville,Virginia,22939,540-332-4490,,https://www.augustahealth.com/,38.094358,-78.986591
UVA Culpeper Medical Center,hospital-based,501 Sunset Ln,,Culpeper,Virginia,22701,,,,38.455683,-78.013588
West Virginia University,stand-alone imaging center,1 Medical Center Dr,#1000,Morgantown,West Virginia,26506,304-293-1884,,https://www.hsc.wvu.edu/,39.653929,-79.958413
Monongalia General Hospital,hospital-based,1200 J D Anderson Dr,,Morgantown,West Virginia,26505,,,https://www.monhealth.com/,39.663925,-79.946749
UNIVERSITY OF VIRGINIA MEDICAL CENTER,hospital-based,1215  Lee St,,Charlottesville,Virginia,22903,434-924-0251,,https://uvahealth.com/locations/profile/university-hospital?utm_source=yext&utm_medium=GMB&y_source=1_MTY4NDQxMDEtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,38.032001,-78.498686
Sentara Martha Jefferson Hospital,hospital-based,500 Martha Jefferson Dr,,Charlottesville,Virginia,22911,,,https://www.sentara.com/charlottesville-virginia/hospitalslocations/locations/martha-jefferson-hospital/directions-parking.aspx,38.022161,-78.443843
UVA Health Cancer Care Gainesville,hospital-based,7901 Lake Manassas Drive,,Dainesville,Virginia,20155,703753-4045,,https://uvahealth.com/locations/UVA-Health-Cancer-Care-Gainesville-5746435,38.786922,-77.645827
Diagnostic Imaging Services,stand-alone imaging center,11110 Medical Campus Rd,Suite 245,Hagerstown,Maryland,21742,301 714-4200,,,39.621501,-77.683447
"HAGERSTOWN IMAGING, LLC",stand-alone imaging center,11236 Robinwood Dr,Suite 106,Hagerstown,Maryland,21742,301-797-4092,,https://www.hagerstownimaging.org/,39.624652,-77.672358
PET of Reston,stand-alone imaging center,1830 Town Center Parkway,Suite 105,Reston,Virginia,20190,,,https://www.restonradiology.com/,38.963249,-77.365129
Frederick Health Hospital,hospital-based,1562 Opossumtown Pike,,Frederick,Maryland,21702,,,https://www.frederickhealth.org/,39.438055,-77.408605
Community Radiology Associates | Frederick Imaging,stand-alone imaging center,67 Thomas Johnson Dr,#4,Frederick,Maryland,21702,,,https://www.radnet.com/community-radiology/locations/frederick-imaging-center?utm_source=GMB&utm_medium=CRA_Frederick_Main&utm_campaign=GMB_CRA_Freder,39.450926,-77.403941
The Radiology Clinic,stand-alone imaging center,12850 Middlebrook Road,Suite 110,Germantown,Maryland,20874,301 217-0500,,https://theradclinic.com/,39.177381,-77.266486
INOVA RESTON D/B FAIRFAX PET IMG,hospital-based,8081 INNOVATION PARK DRIVE,BLDG A SUITE 204,FAIRFAX,Virginia,22031,703 668-8333,,,38.86303,-77.223912
METRO REGION PET CENTER,hospital-based,3289 Woodburn Rd,,Annandale,Virginia,22003,703-698-5593,,https://www.woodburnmed.com/,38.854053,-77.22354
John Hopkins Medical Imaging LLC,hospital-based,6420 Rockledge Dr,Suite 3100,Chevy Chase,Maryland,20817,,,,39.024565,-77.133326
Adventist HealthCare Imaging - North Bethesda,hospital-based,6000 Executive Blvd,Suite 302,Rockville,Maryland,20852,,,https://www.adventisthealthcare.com/locations/profile/imaging-north-bethesda/?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing,39.047973,-77.120561
Virginia Hospital Center,hospital-based,1701 N Georgia Mason Dr,,Arlington,Virginia,22205,,,https://www.virginiahospitalcenter.com/,38.88945,-77.127897
SIBLEY MEMORIAL HOSPITAL,hospital-based,5255 Loughboro Rd,,NW Washington,District of Columbia,20016,202-537-4795,,https://www.hopkinsmedicine.org/sibley-memorial-hospital/?utm_source=Google&utm_medium=Organic&utm_campaign=Yext&utm_content=FAD&utm_keyword=SMH,38.936711,-77.108596
NIH-NCI Molecular Imaging Branch,stand-alone imaging center,21 Wilson Dr,,Bethesda,Maryland,20892,,,,39.002511,-77.098842
NATIONAL INSTITUTES OF HEALTH,hospital-based,9000 Rockville Pike,,Bethesda,Maryland,20892,301-496-5675,,https://www.nih.gov/institutes-nih/nih-institute-center-contact-information,39.003298,-77.09795
WALTER REED NMMC,hospital-based,8901 Wisconsin Ave,Bldg  9A Room 1517,Bethesda,Maryland,20889,301295-4974,,https://walterreed.tricare.mil/Health-Services/Specialty-Care/Urology,39.002063,-77.089853
ALLIANCE-26783-AFFILIATED PET SYSTEMS,hospital-based,1400 Forest Glen Rd,,Silver Springs,Maryland,20910,301-681-9100,,https://affiliatedpet.com/,39.014877,-77.03416
MEDSTAR AT GEORGETOWN MEDICAL CENTER,hospital-based,3800 Reservoir Rd,,Washington,District of Columbia,20007,202-444-3400,5,https://www.medstarhealth.org/,38.9114,-77.075359
Adventist HealthCare Imaging,hospital-based,11886 Healing Way,Suite 102,Silver Spring,Maryland,20904,,,https://www.adventisthealthcare.com/locations/profile/imaging-pet-ct-center/?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing,39.049237,-76.956835
