locationName,centerType,address1,address2,city,state,zip,phoneNumber,phoneExtension,websiteUrl,latitude,longitude
CARTI in Pine Bluff,hospital-based,5001 Bobo Rd,,Pine Vluff,AR,71603,800 482-8561,,,34.176443,-92.041531
Genesis Cancer and Blood Institute – Hot Springs,hospital-based,133 Harmony Park Circle,,Hot Springs,AR,71913,501-624-7700,63819,https://www.genesiscancerblood.com/?utm_source=GMBSocialClimb&utm_medium=GenesisCancerandBloodInstitute,34.464029,-93.066913
Arkansas Urology,stand-alone imaging center,1300 Center View Dr,,Little Rock,AR,72211,,,https://arkansasurology.com/,34.741559,-92.40198
UAMS - University of Arkansas for Medical Sciences,hospital-based,4301 W Markham St,,Little Rock,AR,72205,,,,34.749955,-92.320121
CENTRAL ARKANSAS RADIATION THERAPY INSTITUTE,stand-alone imaging center,8901 Carti Way,,Little Rock,AR,72205,501-906-3000,,https://www.carti.com/,34.743626,-92.367816
CARTI Cancer Center North Little Rock,hospital-based,3400 Springhill Dr,,North Little Rock,AR,72117,501 906-3000,,https://www.carti.com/locations/north-little-rock-treatment-facility/,34.786249,-92.219554
HIGHLANDS ONCOLOGY GROUP - ROGERS,stand-alone imaging center,808 South 52nd ST,,Rogers,AR,72758,479-936-9900,,https://highlandsoncology.com/,36.32484,-94.187298
GENESIS CARE - ROGERS AR,stand-alone imaging center,2526 South Pinnacle Hills Pkway,,Rogers,AR,72758,479-271-8900,,https://www.genesiscare.com/us/our-locations/rogers-lr1/,36.310603,-94.187098
Highlands Oncology Group - Springdale,stand-alone imaging center,3901 Parkway Cir,Suite 100,Springdale,AR,72762,479 936-9900,,https://highlandsoncology.com/,36.152399,-94.189943
Highlands Oncology,hospital-based,3232 N. Northhills Blvd,,Fayetteville,AR,72703,479-587-4139,,https://highlandsoncology.com/,36.110413,-94.156415
Northern Arizona Radiology,hospital-based,77 W Forest Ave,# 101,Flagstaff,AZ,86001,928 773-2515,,https://northernarizonaradiology.com/,35.209734,-111.643882
SIMONMED IMAGING - PRESCOTT VALLEY,stand-alone imaging center,3033 N Windsong Dr,Suite 102,Prescott  Valley,AZ,86314,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___prescott_valley,34.587087,-112.326419
Verde Valley Medical Center,hospital-based,269 South Candy Lane,,Cottonwood,AZ,86326,,,,34.735408,-112.029007
Verde Valley Medical Center - Sedona Campus,hospital-based,3700 W State Rte 89A,,Sedona,AZ,86336,,,,34.855904,-111.823491
Canyon Vista Medical Center,hospital-based,151 Colonia de Salud,,Sierra Vista,AZ,85635,,,,31.552748,-110.231376
Southern Arizona Radiology Associates - Sierra Vis,stand-alone imaging center,155 Calle Portal #500,,Sierra Vista,AZ,85635,,,,31.552845,-110.266558
SIMONMED IMAGING - WILMOT,stand-alone imaging center,310 N Wilmot Rd,Suite 302,Tucson,AZ,85711,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___wilmot,32.225228,-110.856805
ARIZONA ONCOLOGY ASSOCIATES - EASTSIDE,stand-alone imaging center,2951   North Swan Rd,Suite 155,Tuscon,AZ,85712,520-323-5900,,https://arizonaoncology.com/locations/pet-center/,32.260543,-110.893384
"RADIOLOGY LTD, TUCSON PET IMAGING",stand-alone imaging center,4640  E Camp Lowell Imaging Center,,Tucson,AZ,85712,520-733-7226,,https://radltd.com/,32.264694,-110.893617
Banner University Medicine - Tucson,hospital-based,3838 N Campbell Ave,Bldg 2,Tucson,AZ,85719,,,https://www.bannerhealth.com/locations/tucson/banner-university-medicine-north-campbell?y_source=1_MTE5MDczODMtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX29,32.276548,-110.943166
Cobre Valley Community Hospital,hospital-based,5880 N Hospital Dr,,Globe,AZ,85501,928 425-3261,,https://cvrmc.org/,33.410777,-110.826964
Summit Healthcare Regional Medical Center,hospital-based,2200 E Show Low Lake Rd,,Show Low,AZ,85901,,,,34.202814,-110.017981
Arizona Diagnostic Radiology,stand-alone imaging center,1840 W Apache Trail,,Apache Junction,AZ,85120,,,https://www.arizonadiagnosticradiology.com/?utm_source=GMB_Listing&utm_medium=organic,33.415671,-111.56609
SIMONMED IMAGING - SAN BERNARDINO,stand-alone imaging center,225 W Hospitality Ln,Suite 100,San Bernadino,AZ,92408,949-330-8996,,https://www.simonmed.com/locations/all/simonmed_imaging___san_bernardino,34.065266,-117.288366
ARIZONA CENTER FOR CANCER CARE,hospital-based,14674 West Mountain View Blvd,Suite 113,Surprise,AZ,85374,855-485-4673,,https://www.honorhealth.com/locations/specialty-care/honorhealth-virginia-g-piper-cancer-care-network-surprise?utm_source=GMB&utm_medium=local&utm_campaign=Honorhealth_Virginia_G_Piper_Cancer_Care_Network_Surprise,33.655293,-112.376548
Banner Imaging Lakes,stand-alone imaging center,10474 W Thunderbird Blvd,Suite 100,Sun City,AZ,85351,480 610-7400,,,33.605581,-112.283948
Western Regional Medical Center,hospital-based,14200 Celebrate Life Way,,Goodyear,AZ,85338,623-760-7440,,,33.453974,-112.364512
SIMONMED IMAGING - PEORIA,stand-alone imaging center,9139 W Thunderbird Rd,Suite 112,Peoria,AZ,85381,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging__peoria_plaza,33.608102,-112.255633
SIMONMED IMAGING - PALM VALLEY,stand-alone imaging center,13657 W McDowell Rd,Suite 111,Goodyear,AZ,85395,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___goodyear_palm_valley,33.463468,-112.35318
Sun Radiology,stand-alone imaging center,16222 N. 59th Ave,,Glendale,AZ,85308,,,https://www.sunradiology.com/,33.632867,-112.18671
Banner Imaging Paseo,stand-alone imaging center,5605 W Eugie Ave,Suite 110,Glendale,AZ,85304,,,https://www.bannerhealth.com/locations/glendale/banner-imaging-eugie-110?utm_source=GMB&utm_medium=Listing&utm_campaign=Imaging+WebCTA&y_source=1_MTI3,33.607108,-112.181491
SIMONMED IMAGING - THUNDERBIRD,stand-alone imaging center,5410 W Thunderbird Rd,Suite 100,Glendale,AZ,85306,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___thunderbird,33.61115,-112.175905
Phoenix VA Medical Center,hospital-based,650 East Indian School Rd,,Phoenix,AZ,85012,602-277-5551,,https://www.va.gov/phoenix-health-care/,33.495641,-112.065941
SIMONMED IMAGING - CHANDLER SOUTH,stand-alone imaging center,725 S Dobson Rd Ste,A105,Chandler,AZ,85224,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_interventional_radiology___chandler_south,33.293921,-111.875532
ARIZONA CENTER FOR CANCER CARE - TEMPE,hospital-based,7695 S RESEARCH DR SUITE B,,Tampe,AZ,85284,,,,33.348412,-111.895891
Banner - University Medical Center Phoenix,hospital-based,925 E McDowell Rd,,Phoenix,AZ,85006,602 521-3700,,https://www.bannerhealth.com/locations/phoenix/banner-md-anderson-cancer-center-at-banner-university-phoenix?y_source=1_MTI5ODkzMTMtNzE1LWxvY2F0aW9uLn,33.465427,-112.061004
SIMONMED IMAGING - PHOENIX,stand-alone imaging center,2620 N 3rd St,Suite 101,Phoenix,AZ,85004,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___phoenix,33.477297,-112.0699
SIMONMED IMAGING - COPPERPOINT,stand-alone imaging center,3570 S Val Vista Dr,Suite 101,Gilbert,AZ,85297,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___copperpoint,33.285531,-111.755923
SOUTHWEST MEDICAL IMAGING - GILBERT,stand-alone imaging center,3645 South Rome St,Suite 101,Gilbert,AZ,85297,480-425-5030,,https://www.esmil.com/,33.284734,-111.750008
BANNER MD ANDERSON CANCER CENTER,hospital-based,2946  E Banner Gateway Dr,2nd Floor Room 200138,Gilbert,AZ,85234,602-256-3334,,https://www.bannerhealth.com/locations/gilbert/banner-md-anderson-cancer-center-gilbert?y_source=1_MTE5MDczMDgtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,33.382995,-111.725947
SIMONMED IMAGING - GREENFIELD,stand-alone imaging center,1425 South Greenfield Rd,Suite 114,Mesa,AZ,85206,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___greenfield,33.389872,-111.735988
SOUTHWEST MEDICAL IMAGING - SCOTTSDALE,stand-alone imaging center,9220 East Mountain View Rd,Suite 100,Scottdale,AZ,85258,480-425-5000,,https://www.esmil.com/,33.576421,-111.87981
SIMONMED IMAGING - SCOTTSDALE,stand-alone imaging center,6740 East Camelback Rd,Suite 100,Scottdale,AZ,85251,866-614-8556,,https://www.simonmed.com/locations/all/simonmed_imaging___fashion_square,33.50247,-111.93632
SIMONMED IMAGING - DESERT RIDGE,stand-alone imaging center,20830 N Tatum Blvd,Suite 190,Phoenix,AZ,85050,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___desert_ridge,33.674303,-111.980475
MAYO CLINIC ARIZONA,hospital-based,5881  E. Mayo Blvd,,Phoenix,AZ,85054,800-446-2279,,https://www.mayoclinic.org/patient-visitor-guide/arizona/,33.658361,-111.954499
Banner Imaging Paradise Valley,hospital-based,16641 N 40th St,Suite 1A,Phoenix,AZ,85032,,,,33.638541,-111.995519
Southwest Oncology Centers,stand-alone imaging center,1385 S Pacific Ave,,Yuma,AZ,85364,,,https://swoncology.net/,32.702363,-114.597647
Arizona Center for Cancer Care - Phoenix,hospital-based,2222 E Highland Ave,Suite 130,Phoenix,AZ,85016,,,,33.506413,-112.033385
Elite Advanced Imaging,stand-alone imaging center,17260 Bear Valley Rd,#109,Victorville,CA,92395,,,https://www.radnet.com/high-desert/locations/elite-advanced-imaging,34.471606,-117.285522
Kern Radiology Medical Group,stand-alone imaging center,4500 Morning Dr,#202,Bakersfield,CA,93306,661 326-9600,,https://www.radnet.com/kern-radiology/,35.393823,-118.916744
Kern Radiology Medical Group,stand-alone imaging center,4500 Morning Dr #202,,Bakersfield,CA,93306,661 324-7000,,https://www.radnet.com/kern-radiology/locations/kern-radiology-rio-bravo,35.393768,-118.91676
Kern Radiology Memorial Medical Plaza,hospital-based,3838 San Dimas St a120,,Bakersfield,CA,93301,,,,35.394076,-119.007182
Kern Radiology Memorial Medical Plaza,stand-alone imaging center,3838 San Dimas St a120,,BAKERSFIELD,CA,93309,661-326-9600,,,35.394076,-119.007182
CARE Cancer Center,hospital-based,7130 N Millbrook Ave,,Fresno,CA,93720,,,https://ccare.com/,36.839034,-119.762238
RADNET- VALLEY METABOLIC IMAGING,stand-alone imaging center,6121 North Thesta Ave,Suite 207,Fresno,CA,93710,559-449-2640,,https://www.radnet.com/central-california/locations/valley-metabolic-imaging,36.824899,-119.783746
"Modesto Radiology Imaging, Inc.",stand-alone imaging center,1524 McHenry Av,#100,Modesto,CA,95350,209 577-4444,,,37.66569,-120.993502
Quest Imaging: Adventist Health Bakersfield,stand-alone imaging center,2700 Chester Ave,,Bakersfield,CA,93301,661 633-5000,,,35.384172,-119.017905
Sutter Imaging Roseville PET,hospital-based,2241 Douglas Blvd,#110,Roseville,CA,95661,,,https://www.sutterhealth.org/find-location/facility/sutter-imaging-roseville-pet,38.744678,-121.242999
Northern California PET Mobile - Roseville,stand-alone imaging center,406 Sunrise Ave,,Roseville,CA,95661,,,,38.73945,-121.272932
VA Medical Center Sacramento,hospital-based,10535 Hospital Way,,Mather,CA,95655,,,https://www.va.gov/northern-california-health-care/,38.5732,-121.295448
Adventist Health Cancer Care - Lodi,hospital-based,2407 W Vine St,,Lodi,CA,95630,,,,38.123185,-121.304431
Dignity Health Advanced Imaging - Carmichael,stand-alone imaging center,6305 Coyle Ave,,Carmichael,CA,95608,,,https://locations.dignityhealth.org/dignity-health-advanced-imaging-carmichael?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=Lisa&utm_term=M,38.668262,-121.318207
Advanced Imaging - Sacramento,stand-alone imaging center,3301 C St,#500,Sacramento,CA,95816,,,,38.579536,-121.45802
Sutter Imaging Sacramento,hospital-based,3161 L St,,Sacramento,CA,95816,,,https://www.sutterhealth.org/find-location/facility/sutter-imaging-sacramento,38.57095,-121.464097
NORTHERN CALIFORNIA PET IMAGING CENTER,stand-alone imaging center,3195 Folsom Blvd,,Sacramento,CA,95816,916-737-3211,,https://www.norcalscans.org/,38.568728,-121.465212
AKUMIN/ALLIANCE - WOODLAND HEALTHCARE,hospital-based,1325 Cottonwood St,,Woodland,CA,95695,530 662-3961,,,38.664101,-121.792097
RADNET - Desert Advanced Imaging Rancho Mirage,stand-alone imaging center,35-800 Bob Hope Dr Ste,,Rancho Mirage,CA,92270,,,https://www.radnet.com/coachella-valley/locations/rancho-mirage-interventional-radiology-and-imaging-center,33.79053,-116.405464
Eisenhower Lucy Curci Cancer Center,stand-alone imaging center,39000 Bob Hope Dr,,Rancho Mirage,CA,92270,,,,33.764028,-116.400531
HALO DIAGNOSTICS,stand-alone imaging center,74-785 Highway 111,Suite 101,Indian Wells,CA,92210,760-776-8989,,https://www.halodx.com/,33.720754,-116.36013
Loma Linda University Medical Center,hospital-based,11234 Anderson St,,Loma Linda,CA,92354,,,https://lluh.org/?utm_source=google-local&utm_medium=organic&utm_campaign=yext,34.050036,-117.263846
Sharp Grossmont Hospital Outpatient Imaging,hospital-based,8860 Center Dr,,La Mesa,CA,91942,619 740-5100,,https://www.sharp.com/locations/sharp-grossmont-hospital-medical-terrace/outpatient-imaging-791?utm_source=google&utm_medium=organic&utm_campaign=yext,32.782492,-117.006626
Naval Medical Center,hospital-based,34800 Bob Wilson Dr,,San Diego,CA,92134,,,https://www.med.navy.mil/NMRTC-San-Diego-CA/,32.727424,-117.145341
Valley Radiology Consultants Medical Group,stand-alone imaging center,255 North Elm Street,Suite 102,Escondido,CA,92025,,,https://www.valleyrad.com/,33.127,-117.072492
Sharp Memorial Outpatient Pavilion,hospital-based,3075 Health Center Dr.,,San Diego,CA,92123,,,,32.798834,-117.15506
cCARE,hospital-based,16918 Dove Canyon Rd,Suite 103,San Diego,CA,92127,800 456-5860,,https://ccare.com/,33.017509,-117.11209
Imaging Healthcare Specialists - San Diego,hospital-based,150 W Washington St,,San Diego,CA,92103,,,https://www.imaginghealthcare.com/locations/hillcrest/,32.750201,-117.164663
IMAGING HEALTH CARE SPECIALISTS- SAN DIEGO,stand-alone imaging center,150  West Washington St,,San Diego,CA,92103,858-877-1023,,https://www.imaginghealthcare.com/locations/hillcrest/,32.750201,-117.164663
Northern California PET Mobile Vacaville,stand-alone imaging center,1360 Burton Dr,,Vacaville,CA,95687,,,,38.364121,-121.954655
Providence Holy Cross  Imaging Center,hospital-based,26357 McBean Pkwy,,Santa Clarita,CA,91355,661-288-5951,,https://www.providence.org/locations/providence-holy-cross-health-center-at-santa-clarita?Is=location&y_source=1_OTU3NTkxNS03MTUtbG9jYXRpb24ud2Vic2l0Z,34.412573,-118.560465
UCLA Health Santa Clarita Imaging and Intervention,hospital-based,"27235 Tourney Rd, ",suite 1500,Valencia,CA,91355,310-301-6800,,https://www.uclahealth.org/radiology/scic?utm_source=google&utm_medium=Yext,34.417876,-118.578294
Huntington Hill Imaging Center,stand-alone imaging center,625 S. Fair Oaks Avenue,,Pasadena,CA,91105,626 229-8969,,https://hillmedical.com/locations/huntington-hill-imaging-center-fair-oaks/,34.13513,-118.150753
RADNET - IMAGING SPECIALISTS OF PASADENA,hospital-based,630  South Raymond Ave,#210,Pasadena,CA,91105,626-356-0700,,https://www.radnet.com/san-fernando-valley/locations/imaging-specialists-pasadena,34.135126,-118.148383
CITY OF HOPE - OUTPATIENT IMAGING CENTER,hospital-based,1500 East Duarte Rd Outpatient Imaging Center,#184,Durate,CA,91010,800-826-4673,,https://www.cityofhope.org/location/duarte,34.129851,-117.970772
RADNET - LIBERTY PACIFIC ADVANCED IMAGING,stand-alone imaging center,16130 Ventura Blvd.,#100,Encino,CA,91436,818-616-6538,,https://www.radnet.com/san-fernando-valley/locations/liberty-pacific-advanced-imaging-encino,34.156218,-118.485042
LIBERTY PACIFIC ADVANCED IMAGING,stand-alone imaging center,18133  Ventura Blvd,Suite 100,Tarzana,CA,91356,818-933-2020,,https://www.radnet.com/san-fernando-valley/locations/liberty-pacific-advanced-imaging-tarzana,34.166067,-118.52827
KECK Medical Center of USC,hospital-based,1510 San Pablo St,Suite 350,Los Angeles,CA,90033,,,https://www.keckmedicine.org/locations/1510-san-pablo-st-los-angeles/,34.062383,-118.201994
LAC & USC Medical Center,hospital-based,1983 Marengo St,,Los Angeles,CA,90033,323 409-1000,,https://dhs.lacounty.gov/lacusc/,34.05769,-118.208312
United Medical Imaging of Los Angeles,stand-alone imaging center,1127 Wilshire Blvd #100,,Los Angeles,CA,90017,,,,34.052864,-118.264113
Healthcare Advanced Imaging,stand-alone imaging center,4500 Olivewood Ave,#100 & #200,Riverside,CA,92501,,,https://www.radnet.com/inland-empire/locations/healthcare-advanced-imaging,33.972388,-117.375876
United Medical Imaging Healthcare,stand-alone imaging center,1401 W Merced Ave,Suite 102,West Covina,CA,91790,626 813-6100,,https://www.umih.com/locations/,34.062003,-117.94639
City of Hope Corona,hospital-based,320 W 6th St,,Corona,CA,92882,,,,33.875413,-117.569902
RADNET - ROLLING OAKS RADIOLOGY THOUSAND OAKS,stand-alone imaging center,415 Rolling Oaks Radiology,Suite 125,Thousand Oaks,CA,91361,805-778-1513,,https://www.radnet.com/rolling-oaks-radiology/locations/rolling-oaks-radiology-thousand-oaks,34.174973,-118.869108
UCLA Health Santa Monica Outpatient Imaging,hospital-based,1245 16th St,105,Santa Monica,CA,90404,310-301-6800,,,34.027493,-118.485384
TOWER ST. JOHN'S IMAGING,stand-alone imaging center,2202 Wilshire Blvd,,Santa Monica,CA,90403,310-264-9000,,https://www.towersaintjohnsimaging.com/,34.032701,-118.481066
Medical Imaging Center of Southern California,stand-alone imaging center,2817 Wilshire Blvd,,Santa Monica,CA,90403,,,https://www.micsc.com/?utm_source=gmb_auth,34.037964,-118.47549
THE ANGELES CLINIC AND RESEARCH INSTITUTE,stand-alone imaging center,11818 Wilshire Blvd,Suite 200,Los Angeles,CA,90025,310-231-2156,,https://www.cedars-sinai.org/locations/angeles-clinic-research-institute-165.html,34.047307,-118.462978
UCLA Health Nuclear Medicine,hospital-based,200 Medical Plaza Driveway,,Los Angeles,CA,90095,,,https://www.uclahealth.org/nuc/?utm_source=google&utm_medium=Yext,34.064847,-118.447159
VA GREATER LOS ANGELES,hospital-based,11301 Wilshire Blvd,Basement 0072-500,Los Angeles,CA,90073,310-268-3583,,https://www.losangeles.va.gov/,34.052616,-118.452705
Temecula Valley Advanced Imaging Temecula Parkway,hospital-based,31775 De Portola Rd,Ste. 100,Temecula,CA,92592,,,https://www.radnet.com/temecula-valley/locations/temecula-valley-advanced-imaging-temecula-parkway,33.48346,-117.104
Temecula Valley Advanced Imaging Temecula Parkway,stand-alone imaging center,25455 Medical Center Dr,Suite100,Temecula,CA,92592,,,https://www.radnet.com/temecula-valley/locations/temecula-valley-advanced-imaging-temecula-parkway,33.556718,-117.186163
California Cancer Associates,hospital-based,838 Nordahl Rd,Suite 300,San Marcos,CA,92069,800 456-5860,,https://ccare.com/,33.135418,-117.118583
Tri-City PETCT at Vista,hospital-based,902 Sycamore Ave,Suite 120,Vista,CA,92081,,,https://tricitypetct.com/,33.1607,-117.219521
IMAGING HEALTHCARE SPECIALISTS- ENCINITAS,hospital-based,477  North El Caminon Real,Suite A-102,Encinitas,CA,92024,858-888-4548,,https://www.imaginghealthcare.com/locations/encinitas/,33.05712,-117.261289
PET Imaging of San Jose,stand-alone imaging center,2211 Moorpark Ave,,San Jose,CA,95128,,,,37.316427,-121.932645
Epic Care - Dublin,stand-alone imaging center,6380 Clark Ave,,Dublin,CA,94568,,,https://epic-care.com/,37.704769,-121.9214
Magnetic Imaging Affiliates,stand-alone imaging center,5730 Telegraph Ave,,Oakland,CA,94609,,,,37.843525,-122.261046
PET/CT Imaging of Berkeley,stand-alone imaging center,2855 Telegraph Ave,Suite 100,Berkeley,CA,94705,510-204-9400,,https://petctberkeley.com/,37.858198,-122.258897
UCSF Medical Center & UCSF,hospital-based,1855 Folsom St,,San Francisco,CA,94143,,,,37.76734,-122.415048
Sutter California Pacific Medical Center,hospital-based,1101 Van Ness Ave,,San Francisco,CA,94109,,,https://www.sutterhealth.org/find-location/facility/cpmc-van-ness-campus,37.786041,-122.422747
Eden Medical Center,hospital-based,20103 Lake Chabot Rd,,Castro Valley,CA,94546,,,https://www.sutterhealth.org/find-location/facility/eden-medical-center,37.698269,-122.090313
SIMONMED IMAGING - DALY CITY,stand-alone imaging center,455 Hickey Blvd,Suite 200,Daly City,CA,94015,866-614-8555,,https://www.simonmed.com/locations/all/simonmed_imaging___daly_city,37.663286,-122.467289
San Francisco VA Medical Center,hospital-based,4150 Clement St,,San Francisco,CA,94121,,,https://www.va.gov/san-francisco-health-care/,37.783668,-122.503283
RADNET- NORCAL IMAGING WALNUT CREEK,stand-alone imaging center,114 LA CASA VIA,#100,Walnut Creek,CA,94507,925-937-6100,,https://www.radnet.com/northern-california/locations/walnut-creek,37.911688,-122.04499
Muir Oncology Imaging & Treatment,stand-alone imaging center,3000 Oak Rd,# 111,Walnut Creek,CA,94597,,,,37.92977,-122.0572
California Care Imaging Center,stand-alone imaging center,400 Taylor Blvd,#105,Pleasant Hill,CA,94523,,,https://www.johnmuirhealth.com/services/cancer-services.html,37.961832,-122.074048
MarinHealth PET/CT Imaging,stand-alone imaging center,4000 Civic Center Dr,Suite 110,San Rafael,CA,94903,,,https://www.mymarinhealth.org/,38.00449,-122.538277
UKIAH Valley Memorial Hospital,hospital-based,245 Hospital Dr,,Ukiah,CA,95482,707 463-7587,,https://www.adventisthealth.org/locations/outpatient-pavilion-lab-ukiah/,39.152157,-123.202524
Santa Rosa Memorial Hospital,hospital-based,"121 Sotoyome St, ",,Santa Rosa,CA,95405,,,https://www.providence.org/locations/norcal/santa-rosa-memorial-hospital,38.442213,-122.701813
Queen of the Valley Medical Center,hospital-based,1000 Trancas St,,Napa,CA,94558,,,https://www.providence.org/locations/norcal/queen-of-the-valley?y_source=1_ODI0NjgxOC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU=#llaid=9241,38.324482,-122.297109
United Medical Imaging of Downey,hospital-based,11411 Brookshire Ave,Suite 101,Downey,CA,90241,424-251-1105,,https://www.umih.com/,33.9365,-118.131318
CEDARS-SINAI MEDICAL CENTER,hospital-based,8700 BEVERLY BLVD,,Los Angeles,CA,90048,310-423-8000,,https://www.cedars-sinai.org/locations/cedars-sinai-main-campus-89.html,34.07611,-118.379999
Kaiser Permanente West Los Angeles Medical Center,hospital-based,6041 Cadillac Ave,,Los Angeles,CA,90034,833 574-2273,,https://healthy.kaiserpermanente.org/southern-california/facilities/West-Los-Angeles-Medical-Center-100028,34.03888,-118.3751
SIMONMED IMAGING - LAGUNA HILLS,stand-alone imaging center,24022 Calle De La Plata,Suite 100,Laguna Hills,CA,92653,949-330-8996,,https://www.simonmed.com/locations/all/simonmed_imaging__laguna_hills,33.610231,-117.710854
Providence Mission Hospital Mission Viejo,hospital-based,27799 Medical Center Rd,,Mission Viejo,CA,92691,,,https://www.providence.org/locations/mission-hospital-mission-viejo?y_source=1_MTMyNjg2ODItNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl#llaid=2089,33.55981,-117.665657
City of Hope Orange County Cancer Center,hospital-based,1000 FivePoint,,Irvine,CA,92618,888 333-4673,,,33.651563,-117.731001
CANCER CENTER OF IRVINE,stand-alone imaging center,16100 Sand Canyon Ave,Suite 130,Irvine,CA,92618,949-417-1100,,https://kskcancercenter.com/,33.662882,-117.771707
Hoag Health Center Irvine - Sand Canyon,hospital-based,16305 Sand Canyon Ave,,Irvine,CA,92618,,,https://www.hoag.org/locations/hoag-health-center-irvine-sand-canyon/?utm_source=google&utm_medium=local&utm_content=hhci-sc-16305,33.66215,-117.774077
WaveImaging Irvine Barranca,hospital-based,4050 Barranca Pkwy,# 160,Irvine,CA,92604,,,https://www.radnet.com/orange-county/locations/waveimaging-irvine-barranca,33.681772,-117.807939
NEWPORT DIAGNOSTIC CENTER,hospital-based,1605  Avocado Ave,,Newport Beach,CA,92660,949-467-3100,,https://www.newportdiagnosticcenter.com/,33.615156,-117.868642
ALLIANCE HEALTHCARE SERVICES - CENTRAL ORDERING,hospital-based,18201 Von Karman Ave,Suite 600,Irvine,CA,92623,800-544-3215,,https://www.alliancehealthcareservices-us.com/about-us/locations/,33.677931,-117.853579
Memorial Care Imaging Center Newport Beach,stand-alone imaging center,3300 West Coast Hwy,Suite B,Newport Beach,CA,92663,,,https://www.radnet.com/orange-county/locations/waveimaging-newport-beach,33.621731,-117.927372
Hoag Health Center Newport Beach,stand-alone imaging center,510 Superior,Suite 200 BCDE,Newport Beach,CA,92663,949 791-3002,,https://www.hoag.org/locations/hoag-medical-group-newport-beach-hoag-health-center/,33.615828,-117.930758
